type,signals,wins,losses,expired,unique_tickers,win_rate,avg_pct,median_pct,avg_days,ev,avg_win,avg_loss,tp,sl,max_hold,rsi7_th,intra_th,ret_field,ret_th,down_th,rsi14_th,price_max,ret5d_th,vol_mult,ret1d_th,gap_th,bb_width_max,bb_pos_th,dist_high_th,rsi14_min,up_days_min
PENNY_CRASH,187,87,96,4,127,46.5,3.31,-20.0,3.6,3.31,29.36,-19.36,0.3,-0.2,30,,30.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,2094,863,1111,120,958,41.2,3.3,-20.0,8.3,3.3,34.63,-18.67,0.4,-0.2,30,,20.0,,,,25.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,725,292,394,39,344,40.3,3.28,-20.0,7.6,3.28,35.8,-18.64,0.4,-0.2,30,,15.0,,,,25.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,2625,1097,1366,162,1142,41.8,3.27,-20.0,9.2,3.27,33.72,-18.59,0.4,-0.2,30,,20.0,,,,25.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,1227,580,587,60,567,47.3,3.25,-5.63,7.1,3.25,27.67,-18.64,0.3,-0.2,30,,15.0,,,,25.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,505,234,247,24,264,46.3,3.24,-7.51,6.3,3.24,28.59,-18.64,0.3,-0.2,30,,15.0,,,,20.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,2928,1214,1526,188,1132,41.5,3.23,-20.0,9.3,3.23,34.0,-18.55,0.4,-0.2,30,,15.0,,,,25.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,1727,694,926,107,709,40.2,3.22,-20.0,8.0,3.22,35.61,-18.55,0.4,-0.2,30,,15.0,,,,30.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,348,177,161,10,171,50.9,3.2,25.0,4.4,3.2,24.83,-19.19,0.25,-0.2,30,,15.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,213,83,121,9,106,39.0,3.16,-20.0,6.3,3.16,37.67,-18.88,0.4,-0.2,30,,15.0,,,,20.0,3.0,-50.0,,,,,,,,
PENNY_CRASH,641,256,348,37,347,39.9,3.16,-20.0,7.1,3.16,36.06,-18.72,0.4,-0.2,30,,20.0,,,,20.0,10.0,-40.0,,,,,,,,
PENNY_CRASH,1778,838,856,84,842,47.1,3.15,-6.42,7.4,3.15,27.69,-18.73,0.3,-0.2,30,,20.0,,,,25.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,729,375,326,28,420,51.4,3.15,5.54,6.0,3.15,23.99,-18.93,0.25,-0.2,30,,20.0,,,,20.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,270,105,154,11,181,38.9,3.15,-20.0,5.4,3.15,37.86,-18.94,0.4,-0.2,30,,30.0,,,,20.0,10.0,-50.0,,,,,,,,
PENNY_CRASH,275,128,136,11,186,46.5,3.12,-10.91,4.8,3.12,28.46,-18.95,0.3,-0.2,30,,30.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,593,279,289,25,393,47.0,3.11,-5.93,6.2,3.11,27.78,-18.8,0.3,-0.2,30,,30.0,,,,25.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,1112,456,582,74,595,41.0,3.1,-20.0,8.9,3.1,34.25,-18.54,0.4,-0.2,30,,20.0,,,,20.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,377,174,187,16,223,46.2,3.1,-8.18,5.7,3.1,28.61,-18.77,0.3,-0.2,30,,20.0,,,,20.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,1390,568,739,83,803,40.9,3.1,-20.0,8.2,3.1,34.43,-18.54,0.4,-0.2,30,,30.0,,,,25.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,508,198,285,25,244,39.0,3.07,-20.0,6.7,3.07,37.42,-18.87,0.4,-0.2,30,,15.0,,,,20.0,10.0,-50.0,,,,,,,,
PENNY_CRASH,552,221,303,28,301,40.0,3.06,-20.0,6.9,3.06,35.66,-18.71,0.4,-0.2,30,,20.0,,,,25.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,1195,482,643,70,708,40.3,3.05,-20.0,7.5,3.05,35.02,-18.56,0.4,-0.2,30,,30.0,,,,25.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,1118,527,544,47,577,47.1,3.05,-5.88,7.0,3.05,27.55,-18.79,0.3,-0.2,30,,20.0,,,,25.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,1422,664,695,63,691,46.7,3.02,-8.55,6.6,3.02,27.93,-18.8,0.3,-0.2,30,,20.0,,,,25.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,948,442,460,46,580,46.6,3.01,-7.86,6.6,3.01,27.85,-18.69,0.3,-0.2,30,,30.0,,,,25.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,2754,1284,1319,151,1025,46.6,3.0,-5.94,8.0,3.0,27.66,-18.54,0.3,-0.2,30,,15.0,,,,30.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,350,164,174,12,240,46.9,2.99,-7.78,5.1,2.99,27.87,-18.95,0.3,-0.2,30,,30.0,,,,25.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,910,364,488,58,490,40.0,2.98,-20.0,8.0,2.98,35.34,-18.6,0.4,-0.2,30,,20.0,,,,20.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,1242,503,655,84,586,40.5,2.97,-20.0,8.9,2.97,34.61,-18.56,0.4,-0.2,30,,15.0,,,,20.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,405,157,229,19,220,38.8,2.96,-20.0,6.0,2.96,37.49,-18.9,0.4,-0.2,30,,20.0,,,,20.0,10.0,-50.0,,,,,,,,
PENNY_CRASH,892,412,443,37,453,46.2,2.96,-12.67,5.8,2.96,28.4,-18.88,0.3,-0.2,30,,20.0,,,,25.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,6449,2662,3340,447,1745,41.3,2.95,-20.0,10.1,2.95,33.4,-18.46,0.4,-0.2,30,,15.0,,,,30.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,429,217,198,14,240,50.6,2.95,3.77,4.5,2.95,24.45,-19.05,0.25,-0.2,30,,20.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,1580,743,748,89,723,47.0,2.92,-7.62,8.1,2.92,27.27,-18.69,0.3,-0.2,30,,15.0,,,,20.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,598,302,274,22,340,50.5,2.91,2.83,5.0,2.91,24.36,-18.97,0.25,-0.2,30,,20.0,,,,20.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,804,319,445,40,485,39.7,2.91,-20.0,6.4,2.91,35.82,-18.73,0.4,-0.2,30,,30.0,,,,30.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,553,313,225,15,274,56.6,2.91,20.0,4.1,2.91,19.79,-19.11,0.2,-0.2,30,,15.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,511,239,253,19,342,46.8,2.89,-7.51,5.6,2.89,27.66,-18.87,0.3,-0.2,30,,30.0,,,,25.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,4346,1770,2296,280,1504,40.7,2.88,-20.0,9.2,2.88,34.08,-18.56,0.4,-0.2,30,,20.0,,,,30.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,815,377,400,38,501,46.3,2.87,-9.24,5.9,2.87,27.95,-18.71,0.3,-0.2,30,,30.0,,,,25.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,350,161,174,15,236,46.0,2.86,-13.17,5.1,2.86,28.37,-18.86,0.3,-0.2,30,,30.0,,,,20.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,213,97,110,6,106,45.5,2.84,-20.0,4.9,2.84,29.14,-19.16,0.3,-0.2,30,,15.0,,,,20.0,3.0,-50.0,,,,,,,,
PENNY_CRASH,822,378,404,40,384,46.0,2.83,-11.74,6.4,2.83,28.25,-18.81,0.3,-0.2,30,,15.0,,,,20.0,10.0,-40.0,,,,,,,,
PENNY_CRASH,1285,506,708,71,624,39.4,2.83,-20.0,7.1,2.83,35.93,-18.68,0.4,-0.2,30,,20.0,,,,30.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,675,266,381,28,297,39.4,2.82,-20.0,6.9,2.82,36.38,-19.0,0.4,-0.2,30,,15.0,,,,25.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,339,155,171,13,174,45.7,2.82,-20.0,5.4,2.82,28.55,-18.84,0.3,-0.2,30,,15.0,,,,20.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,3296,1325,1787,184,1262,40.2,2.82,-20.0,8.2,2.82,34.88,-18.74,0.4,-0.2,30,,20.0,,,,30.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,951,441,473,37,591,46.4,2.82,-13.99,6.0,2.82,27.92,-18.88,0.3,-0.2,30,,30.0,,,,30.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,1037,588,419,30,507,56.7,2.81,20.0,5.4,2.81,19.56,-19.12,0.2,-0.2,30,,15.0,,,,20.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,897,417,444,36,478,46.5,2.79,-8.12,6.4,2.79,27.66,-18.82,0.3,-0.2,30,,20.0,,,,25.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,264,121,134,9,155,45.8,2.78,-20.0,5.1,2.78,28.51,-19.0,0.3,-0.2,30,,20.0,,,,20.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,496,197,277,22,337,39.7,2.78,-20.0,6.2,2.78,35.58,-18.83,0.4,-0.2,30,,30.0,,,,30.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,359,142,206,11,224,39.6,2.77,-20.0,5.2,2.77,36.3,-19.17,0.4,-0.2,30,,30.0,,,,25.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,400,186,196,18,274,46.5,2.77,-11.62,6.1,2.77,27.69,-18.89,0.3,-0.2,30,,30.0,,,,20.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,725,332,364,29,344,45.8,2.76,-20.0,6.0,2.76,28.34,-18.85,0.3,-0.2,30,,15.0,,,,25.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,2556,1295,1142,119,995,50.7,2.75,1.94,7.1,2.75,23.63,-18.68,0.25,-0.2,30,,15.0,,,,25.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,4384,2025,2115,244,1345,46.2,2.74,-8.38,8.2,2.74,27.62,-18.61,0.3,-0.2,30,,15.0,,,,30.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,1968,992,887,89,812,50.4,2.74,1.6,6.4,2.74,23.88,-18.74,0.25,-0.2,30,,15.0,,,,25.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,172,78,90,4,98,45.3,2.74,-20.0,4.3,2.74,29.29,-19.29,0.3,-0.2,30,,20.0,,,,20.0,3.0,-50.0,,,,,,,,
PENNY_CRASH,4651,1880,2483,288,1449,40.4,2.73,-20.0,9.1,2.73,34.22,-18.64,0.4,-0.2,30,,15.0,,,,30.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,1711,675,933,103,709,39.5,2.73,-20.0,8.1,2.73,35.57,-18.67,0.4,-0.2,30,,15.0,,,,25.0,10.0,-40.0,,,,,,,,
BB_SQUEEZE,12481,8435,347,3699,4410,67.6,2.72,1.99,13.5,2.72,5.72,-3.55,0.2,-0.15,15,,,,,,25.0,,,,,,15.0,-0.1,,,
PENNY_CRASH,560,256,278,26,355,45.7,2.71,-10.88,5.4,2.71,28.14,-18.71,0.3,-0.2,30,,30.0,,,,25.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,348,196,147,5,171,56.3,2.71,20.0,3.5,2.71,19.91,-19.47,0.2,-0.2,30,,15.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,637,322,293,22,326,50.5,2.71,1.79,6.0,2.71,23.85,-18.9,0.25,-0.2,30,,15.0,,,,20.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,278,138,133,7,153,49.6,2.71,-0.42,3.7,2.71,25.0,-19.26,0.25,-0.2,30,,20.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,1863,860,917,86,864,46.2,2.7,-9.29,7.2,2.7,27.71,-18.75,0.3,-0.2,30,,20.0,,,,30.0,3.0,-25.0,,,,,,,,
BB_SQUEEZE,12481,8453,335,3693,4410,67.7,2.69,2.02,13.4,2.69,5.65,-3.52,0.15,-0.15,15,,,,,,25.0,,,,,,15.0,-0.1,,,
PENNY_CRASH,3186,1462,1565,159,1101,45.9,2.69,-11.08,7.3,2.69,27.98,-18.76,0.3,-0.2,30,,15.0,,,,30.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,3830,1787,1828,215,1368,46.7,2.68,-7.96,8.5,2.68,27.05,-18.65,0.3,-0.2,30,,15.0,,,,25.0,10.0,-25.0,,,,,,,,
PENNY_CRASH,1242,570,604,68,586,45.9,2.68,-11.74,7.3,2.68,27.92,-18.72,0.3,-0.2,30,,15.0,,,,20.0,10.0,-30.0,,,,,,,,
PENNY_CRASH,1994,913,981,100,808,45.8,2.66,-9.62,7.1,2.66,27.91,-18.67,0.3,-0.2,30,,15.0,,,,30.0,3.0,-30.0,,,,,,,,
BB_SQUEEZE,12481,8353,769,3359,4410,66.9,2.66,1.93,13.3,2.66,5.69,-3.46,0.2,-0.1,15,,,,,,25.0,,,,,,15.0,-0.1,,,
BB_SQUEEZE,12481,8370,757,3354,4410,67.1,2.64,1.96,13.1,2.64,5.63,-3.44,0.15,-0.1,15,,,,,,25.0,,,,,,15.0,-0.1,,,
PENNY_CRASH,402,156,223,23,271,38.8,2.63,-20.0,6.5,2.63,36.18,-18.64,0.4,-0.2,30,,30.0,,,,20.0,10.0,-40.0,,,,,,,,
PENNY_CRASH,1727,783,856,88,709,45.3,2.62,-13.99,6.5,2.62,28.32,-18.7,0.3,-0.2,30,,15.0,,,,30.0,5.0,-40.0,,,,,,,,
